spectrum_1,spectrum_2,spectrum_3,spectrum_4,spectrum_5,spectrum_6,spectrum_7,spectrum_8,spectrum_9,spectrum_10,spectrum_11,spectrum_12,spectrum_13,spectrum_14,spectrum_15,spectrum_16,alcohol_percentage,sugar_percentage
4123,2382,3196,5656,1822,2355,1336,3214,4585,1837,2529,2948,9990,5566,3482,6906,0,7
4117,2370,3209,5699,1862,2387,1335,3245,4607,1851,2555,2983,10120,5639,3515,7079,0,7
4231,2439,3302,5818,1873,2424,1366,3327,4807,1902,2605,3042,10298,5710,3588,7208,0,7
4240,2405,3295,5805,2085,2428,1383,3313,4719,1902,2610,3017,10330,5722,3571,7142,0,7
4295,2445,3318,5851,2071,2455,1377,3292,4707,1870,2582,3002,10220,5683,3548,7129,0,7
4363,2444,3366,5953,2058,2500,1420,3365,4764,1945,2662,3103,10584,5847,3654,7362,0,7
4352,2429,3357,5945,2019,2489,1416,3371,4841,1937,2664,3098,10587,5867,3644,7287,0,7
4363,2471,3380,5965,2156,2494,1417,3388,4788,1932,2672,3103,10593,5889,3661,7369,0,7
4351,2460,3357,5967,2036,2478,1410,3356,4781,1922,2649,3081,10584,5867,3642,7330,0,7
4327,2442,3379,5959,1897,2475,1393,3381,4801,1922,2653,3083,10604,5892,3654,7403,0,7
4327,2421,3368,5964,2034,2482,1396,3375,4771,1941,2658,3103,10635,5887,3677,7334,0,7
4336,2482,3346,5937,2008,2475,1399,3359,4722,1931,2650,3086,10565,5860,3639,7229,0,7
4352,2446,3361,5965,2127,2470,1398,3370,4705,1949,2664,3101,10613,5885,3647,7331,0,7
2752,1793,2368,4023,1804,1993,1324,2416,3351,1578,1965,2177,6448,3661,2452,4428,1,0
2565,1577,2045,3383,1610,1813,1256,2128,2954,1464,1783,1959,5547,3196,2177,3928,1,0
2467,1485,1961,3284,1579,1746,1201,2033,2804,1387,1690,1841,5328,3059,2067,3900,1,0
2282,1423,1815,2981,1439,1715,1179,1924,2544,1378,1697,1816,4717,2749,1918,3316,1,0
2134,1364,1680,2822,1548,1546,1058,1739,2453,1221,1451,1556,4385,2489,1678,3163,1,0
3273,1915,2480,4460,1799,1946,1122,2519,3809,1498,1990,2268,7353,4103,2594,5239,1,0
2658,1566,2051,3621,1556,1661,972,2070,3193,1268,1643,1867,5777,3238,2111,4108,1,0
2108,1255,1622,2832,1320,1347,826,1682,2501,1065,1337,1486,4364,2457,1655,3167,1,0
9482,5250,7169,13226,4650,4970,2679,6960,10365,3808,5329,6338,24440,13268,7760,16609,1,1
9302,5140,7026,12971,4439,4882,2631,6829,10197,3756,5238,6229,24036,13049,7626,16365,1,1
9154,5081,6942,12790,4365,4828,2611,6745,10004,3729,5189,6163,23635,12867,7522,16136,1,1
9053,5031,6841,12647,4354,4754,2574,6651,9963,3656,5113,6073,23421,12732,7420,16022,1,1
8909,4914,6736,12471,4292,4689,2543,6550,9879,3606,5030,5968,23074,12543,7298,15780,1,1
8767,4841,6633,12292,4259,4608,2504,6461,9694,3556,4973,5903,22802,12400,7193,15598,1,1
8692,4797,6566,12157,4178,4580,2482,6377,9548,3536,4918,5831,22524,12254,7123,15432,1,1
8586,4746,6486,11998,4104,4540,2473,6327,9480,3500,4873,5807,22308,12142,7052,15350,1,1
8543,4763,6460,11961,4136,4496,2451,6277,9347,3479,4842,5750,22159,12082,7008,15187,1,1
8491,4722,6428,11922,4069,4516,2450,6273,9444,3494,4836,5740,22103,12012,6969,15077,1,1
8390,4675,6353,11769,3994,4441,2414,6164,9211,3414,4802,5627,22045,11845,6926,14851,1,1
8180,4525,6185,11494,4121,4347,2359,6027,9057,3365,4645,5530,21309,11582,6706,14585,1,1
2572,2089,2346,3058,1953,2674,1821,2678,2994,2180,2661,2488,3138,2421,2468,2603,1,2
2526,2055,2248,2921,1747,2486,1680,2467,2766,1981,2397,2265,2933,2137,2069,2249,1,2
2698,2154,2481,3243,2057,2733,1719,2770,3126,2142,2743,2607,3289,2547,2509,2676,1,2
2899,2280,2610,3405,2205,2831,1805,2885,3196,2196,2818,2694,3316,2582,2559,2776,1,2
2830,2236,2561,3342,2144,2784,1804,2846,3003,2168,2788,2672,3334,2594,2569,2822,1,2
3005,2402,2713,3516,2063,2976,1892,2982,3012,2316,2937,2792,3404,2648,2654,2830,1,2
2986,2351,2717,3501,2214,2962,1897,2983,3200,2307,2941,2791,3381,2651,2653,2834,1,2
3058,2424,2786,3609,1934,2996,1924,3061,3237,2316,2985,2862,3528,2754,2756,2999,1,2
4122,3235,3739,4773,3321,4215,2904,4103,4205,3324,4096,3848,4671,3665,3700,3834,1,3
4735,3765,4286,5503,3881,4679,3065,4705,4920,3659,4667,4409,5363,4187,4214,4410,1,3
4765,3767,4311,5557,3925,4730,3014,4688,4812,3661,4706,4460,5458,4262,4311,4525,1,3
4792,3770,4333,5578,3805,4722,3053,4824,5011,3707,4749,4511,5524,4292,4312,4518,1,3
4208,3328,3816,4900,3392,4290,2819,4430,4695,3407,4402,4187,5089,3998,4055,4221,1,3
4411,3504,3981,5159,3620,4397,2860,4505,4735,3459,4452,4234,5076,3976,4059,4200,1,3
4435,3512,4018,5152,3409,4341,2827,4424,4617,3372,4358,4136,4963,3885,3942,4101,1,3
4360,3435,3942,5074,3483,4299,2779,4361,4485,3329,4298,4092,4909,3843,3890,4032,1,3
4356,3425,3948,5076,3518,4281,2767,4384,4532,3308,4303,4104,4910,3827,3898,4031,1,3
4266,3372,3865,4973,3576,4217,2701,4308,4472,3261,4248,4058,4839,3769,3852,3936,1,3
4310,3383,3915,5004,3461,4239,2729,4330,4491,3289,4294,4084,4883,3803,3802,3978,1,3
4369,3428,3985,5096,3586,4247,2723,4388,4728,3337,4396,4231,5159,4027,4038,4238,1,3
4461,3465,4053,5218,3535,4354,2795,4488,4664,3387,4430,4231,5169,4026,4056,4258,1,3
9833,5340,7441,13522,4707,5133,2752,7381,11199,3911,5542,6623,23772,13185,8056,16651,1,4
9793,5307,7396,13411,4713,5092,2721,7352,11200,3885,5511,6581,23634,13103,7991,16555,1,4
9670,5229,7278,13250,4733,5041,2671,7271,11070,3847,5468,6562,23409,13004,7940,16423,1,4
9664,5218,7292,13244,4640,5032,2677,7240,10966,3829,5436,6513,23325,12942,7911,16300,1,4
7188,3868,5458,11466,4834,4979,2671,7218,11028,3809,5400,6487,23363,12892,7869,16326,1,4
9641,5211,7295,13196,4714,5004,2673,7234,11116,3836,5415,6492,23358,12869,7847,16250,1,4
9687,5259,7284,13236,4873,5027,2689,7263,11202,3850,5436,6534,23328,12887,7860,16249,1,4
9642,5214,7279,13191,4802,5010,2684,7219,10970,3827,5436,6504,23271,12869,7864,16309,1,4
9634,5159,7269,13178,4704,4993,2670,7209,11017,3827,5420,6470,23240,12841,7827,16199,1,4
9609,5145,7235,13138,4798,5000,2684,7205,11069,3804,5402,6471,23189,12823,7811,16256,1,4
9555,5156,7209,13085,4594,4962,2665,7183,11019,3796,5399,6459,23139,12784,7782,16237,1,4
9577,5145,7232,13106,4671,4965,2670,7188,10993,3793,5370,6438,23067,12750,7755,16078,1,4
9546,5124,7197,13062,4744,4930,2641,7141,11080,3760,5339,6407,23074,12748,7747,16055,1,4
9546,5069,7188,13051,4730,4910,2615,7133,10965,3760,5339,6407,23070,12752,7764,16058,1,4
9537,5105,7197,13029,4684,4920,2620,7129,10896,3760,5333,6390,22974,12708,7714,16079,1,4
10729,5749,8120,14722,5196,5517,2947,7985,11896,4209,5934,7160,25752,14177,8707,17782,1,5
10395,5566,7868,14295,5076,5334,2850,7787,11705,4082,5754,6929,24991,13730,8427,17319,1,5
10372,5550,7855,14292,4910,5320,2845,7782,11602,4057,5735,6931,25070,13807,8427,17309,1,5
10369,5508,7869,14291,4992,5316,2835,7762,11687,4065,5724,6918,25042,13787,8404,17242,1,5
10488,5612,7990,14522,5286,5458,2916,7944,11903,4197,5896,7107,25667,14175,8599,17855,1,5
10372,5657,7900,14404,5150,5550,3008,7873,12069,4321,5992,7146,26170,14184,8485,17203,1,5
10458,5646,7871,14412,5134,5554,3012,7902,11932,4315,6000,7127,26228,14422,8726,17908,1,5
10446,5674,7981,14464,5335,5590,3013,7879,12116,4311,6000,7166,26417,14507,8751,18071,1,5
10459,5674,7961,14477,5210,5574,2959,7830,11771,4274,5930,7040,25700,14169,8594,17702,1,5
10319,5595,7800,14169,5008,5446,2927,7714,11708,4222,5893,7011,25734,14084,8596,17575,1,5
10266,5608,7813,14177,5224,5470,2944,7742,11789,4245,5879,7024,25709,14153,8559,17653,1,5
10284,5572,7841,14211,5094,5491,2948,7754,11917,4263,5919,7041,25807,14168,8560,17706,1,5
10307,5556,7826,14240,5138,5472,2949,7736,11782,4248,5895,7026,25772,14207,8589,17703,1,5
10291,5556,7832,14182,5257,5498,2958,7763,11792,4263,5888,7047,25758,14208,8536,17687,1,5
10234,5524,7802,14067,5288,5455,2949,7680,11657,4240,5895,7006,25679,14026,8453,17262,1,5
2815,1945,2343,3482,1990,2121,1298,2532,3071,1634,2163,2333,4144,2830,2478,3139,1,6
2785,1941,2341,3473,1879,2145,1312,2590,3079,1665,2198,2378,4317,2877,2515,3156,1,6
2823,1965,2372,3500,1869,2188,1353,2618,3171,1702,2247,2404,4301,2891,2545,3232,1,6
2797,1942,2364,3488,2091,2189,1329,2596,3193,1696,2235,2398,4259,2868,2523,3266,1,6
2861,2023,2391,3541,1730,2277,1394,2681,3271,1778,2303,2441,4248,2891,2548,3276,1,6
2860,2019,2410,3529,1944,2265,1390,2668,3241,1757,2312,2448,4228,2876,2567,3330,1,6
2866,1997,2422,3539,1786,2265,1376,2680,3206,1766,2321,2460,4239,2904,2537,3287,1,6
2735,1897,2282,3424,1638,2072,1243,2523,2994,1599,2123,2295,4229,2809,2440,3196,1,6
2729,1853,2276,3412,1691,2085,1259,2531,2977,1610,2133,2316,4177,2806,2436,3207,1,6
2724,1859,2273,3383,1816,2077,1238,2528,3132,1623,2140,2315,4181,2791,2432,3137,1,6
2755,1872,2302,3439,1877,2072,1265,2525,3112,1603,2129,2295,4123,2764,2397,3133,1,6
2828,1928,2385,3503,1806,2224,1358,2666,3189,1744,2294,2442,4190,2846,2542,3203,1,6
2880,1982,2426,3527,1994,2258,1373,2713,3248,1767,2302,2459,4167,2849,2553,3138,1,6
2866,2002,2417,3526,1855,2263,1387,2682,3289,1784,2299,2452,4208,2879,2525,3211,1,6
3149,2294,2705,3911,2182,2590,1590,3020,3522,2010,2686,2795,4721,3260,2927,3716,1,7
3313,2416,2832,4090,2234,2702,1645,3159,3764,2105,2822,2917,4937,3393,3039,3884,1,7
3363,2432,2862,4120,2291,2699,1646,3152,3792,2075,2781,2894,4993,3402,3007,3886,1,7
3259,2421,2815,4019,2491,2353,1425,2769,2869,1847,2214,2431,3749,2597,2474,2704,1,7
2555,1894,2188,3079,1787,2151,1334,2512,2893,1740,2279,2348,3589,2534,2451,3010,1,7
2738,2145,2287,3510,1842,2180,1348,2478,3118,1612,2245,2238,3873,2574,2315,2886,1,7
2663,1915,2160,3133,1667,2027,1263,2410,2986,1568,2103,2212,3693,2510,2250,2794,1,7
2439,1712,2043,3050,1652,2030,1220,2318,2834,1486,1957,2025,3295,2254,2084,2571,1,7
2582,1764,2146,3232,1595,1978,1213,2363,3028,1539,2028,2163,4161,2716,2287,3152,1,7
2530,1708,2102,3180,1690,2031,1203,2334,2850,1531,2011,2075,3560,2412,2162,2814,1,7
2459,1699,2030,3103,1627,1874,1155,2223,3008,1454,1896,1993,4091,2610,2129,3024,1,7
2427,1628,2059,3136,1577,1860,1126,2248,2997,1481,1932,2046,4225,2669,2180,3159,1,7
2432,1635,1982,3108,1595,1806,1100,2192,3070,1424,1856,2016,4238,2670,2155,3127,1,7
756,685,656,927,849,772,506,732,759,617,721,733,865,646,684,674,2,0
745,686,628,906,621,766,497,753,754,618,710,745,866,903,714,987,2,0
437,438,367,508,557,514,331,413,470,382,439,408,457,317,348,385,2,0
427,407,351,514,379,511,346,450,471,396,447,398,455,324,371,391,2,0
396,415,341,489,507,494,319,421,501,399,429,394,417,304,351,397,2,0
691,549,481,621,445,428,324,440,400,383,405,380,476,327,361,424,2,0
402,401,366,527,610,494,331,426,495,383,428,386,435,336,356,366,2,0
413,419,378,537,605,537,349,440,529,406,457,407,470,341,369,338,2,0
12179,6657,9249,16937,5664,6342,3421,9094,13693,4854,6809,8183,30445,16691,10068,20732,2,1
12125,6605,9225,16875,5872,6321,3401,9074,13725,4845,6796,8165,30454,16664,10029,20689,2,1
12103,6636,9205,16863,5937,6330,3415,9059,13676,4813,6774,8137,30328,16626,10014,20735,2,1
12044,6584,9175,16767,5813,6296,3394,9011,13633,4813,6733,8106,30215,16542,9983,20580,2,1
12056,6570,9158,16756,5804,6287,3391,9004,13703,4807,6736,8111,30187,16521,9958,20580,2,1
12008,6571,9123,16719,5824,6266,3358,8969,13618,4790,6714,8077,30137,16482,9928,20555,2,1
11975,6493,9086,16626,5660,6243,3362,8926,13507,4763,6677,8038,30050,16424,9899,20463,2,1
11946,6520,9072,16629,5772,6233,3354,8929,13600,4750,6677,8034,30054,16442,9885,20430,2,1
11938,6469,9065,16624,5705,6215,3332,8908,13468,4747,6682,8022,29975,16385,9873,20444,2,1
12045,6560,9158,16785,5675,6306,3390,9023,13502,4810,6759,8126,30345,16602,9985,20658,2,1
12043,6540,9139,16760,5907,6288,3365,9000,13572,4793,6743,8096,30313,16560,9977,20503,2,1
12016,6502,9139,16757,5704,6276,3377,8980,13579,4792,6736,8108,30282,16546,9969,20551,2,1
12026,6534,9129,16745,5685,6276,3372,8979,13636,4785,6720,8070,30242,16521,9939,20604,2,1
12006,6556,9139,16706,5641,6279,3374,8983,13611,4795,6714,8095,30214,16520,9940,20557,2,1
2754,2280,2457,3286,2378,2615,1625,2646,2761,1985,2559,2444,3091,2343,2366,2574,2,2
2527,2048,2233,2980,2124,2506,1585,2545,2606,1939,2492,2362,2932,2210,2229,2426,2,2
2495,2074,2239,2970,2176,2528,1600,2554,2609,1946,2497,2392,2993,2272,2277,2497,2,2
2511,2081,2233,2979,1962,2536,1587,2558,2640,1988,2553,2443,3097,2350,2352,2647,2,2
2681,2197,2377,3199,2235,2682,1677,2687,2672,1945,2502,2394,3033,2291,2305,2466,2,2
2450,1998,2195,2943,2015,2463,1534,2522,2516,1885,2451,2327,2964,2252,2258,2468,2,2
2396,1955,2150,2859,1965,2385,1487,2449,2469,1824,2353,2244,2903,2186,2177,2373,2,2
2392,1934,2121,2844,2117,2355,1479,2412,2475,1802,2344,2243,2889,2173,2146,2324,2,2
2360,1779,2006,2902,1960,2044,1259,2239,2462,1580,2047,2052,3488,2367,2106,2845,2,2
2414,1774,2041,2966,1776,2068,1267,2275,2425,1592,2085,2078,3557,2426,2124,2758,2,2
